source,target,weight
meal-time,holidays,886377
cinema,actu-culture,371951
lipstick,hair,2625205
sneakers,adidas,954046
the-places,places-to-stay,1124684
recipes,poultry,908491
makeup,beauty-benessere,568195
type,make-ahead,458356
educate-me,beauty,2649744
roast,meal,450402
meal,herb,295434
pasta-noodles,dinner,1666331
shopping-guide,shopping,1046858
health,cuidado-personal,907474
trainers-topic,shoes,446481
nut-free,holidays,811810
technique,fruit,569230
tree-nut-free,bon-appetit,126515
guia-de-estilo,fashion,683898
seafood,fish,615159
meal-time,herbs-spices,517694
ingredient,fish,615159
technique,root-vegetable,355500
makeup,hair,705084
dairy,cheese,281703
travel,air-travel,1499086
tree-nut-free,equipment,237113
dinner,bean,225974
special-consideration,fruit,525363
dessert,cuisine,673035
peliculas,estilo-de-vida,994038
celebrity-beauty-topic,beauty,452973
meal-time,cheese,1210833
viso-corpo,beauty,808428
simple-cooking,season,512173
vegetable,vegan,565688
wellness,shopping,1407389
pasta-noodles,meal,1680123
interviews,entertainment,1376805
the-places,the-bests,453040
places-to-stay,north-america,917782
special-consideration,dessert,561199
travel,culture-lifestyle,1331572
technique,herb,506347
watches,style,1277134
ingredient,30-minutes-or-less,395832
recipes,autumn,231260
sports,gqsports,408364
cuisine,cheese,1145166
keto,ingredient,745660
recipes,first,272212
vegan,recipes,706460
trends,fashion trends,929060
vegetarian,healthyish,482298
ingredient,basically,1193798
films,actualites,312225
travis-kelce,taylor-swift,2489833
recipes,dolci-e-dessert,147988
tomato,dinner,494714
roast,dinner,420312
beautytips,beauty,379937
the-intel,air-travel,1455686
sneakers,shoes,1354226
tomato,meal,494604
tree-nut-free,root-vegetable,320630
poultry,meal-time,887160
entertainment,cinema,454799
simple-cooking,one-pot-meals,403595
simple-cooking,root-vegetable,322388
tree-nut-free,cookbooks,450130
one-pot-meals,ingredient,403595
simple-cooking,citrus,686074
shopping,amazon-fashion,712710
lunch,cuisine,548597
simple-cooking,herbs-spices,776170
trips-traveling,air-travel,1458442
watches,rolex,773328
pasta-noodles,main,1643960
ingredient,cake,414526
update-me,culture-and-living,1431357
other-ingredients,cooking-method,900054
netflix,movies,2409475
fruit,dinner,669003
shafts,fashion,152408
special-consideration,european,657227
meat,dairy-free,485983
vegan,diet,713082
europe,england,1373020
ingredient,5-ingredients-or-fewer,1549841
shopping,care,511247
dessert,chocolate,454979
recipes menus,cheese,236999
other-ingredients,meal-time,457115
vegetable,leafy-greens,755786
shows,serie-tv,719127
main,asian,466310
vegetarian,spring,258203
leafy-greens,ingredient,755786
series-de-tv,culture,1423031
poultry,cuisine,534291
layout-image-none,humor,421790
season,cooking-method,692750
peliculas,movie theater,203610
humor,hero-layouts,421790
main,healthyish,350689
ingredient,chocolate,467069
herbs-spices,dinner,479420
salute-e-benessere,beauty,1668532
cuisine,cookbooks,316014
pasta,easy,1400530
meal,italian,1870781
in this story,genre,2447162
lifestyle,gq-recommends,538047
models,fashion,812321
recipes,european,2375038
how to,gear,1597546
the-bests,places-to-stay,805481
recipes,leafy-greens,755242
special-consideration,make-ahead,559428
epicurious,dinner,274061
special-consideration,bake,265457
type,root-vegetable,308229
seconds,recipes,138749
quick,30-minutes-or-less,411436
source,cheese,229057
simmer,cuisine,918241
european,easy,2007522
lifestyle,fashion,381936
side,recipes menus,263960
one-pot-meals,meal,399077
simple-cooking,herb,428972
fruit,dairy-free,565898
travel,north-america,984452
dessert,cooking-method,747811
herbs-spices,dish,708161
lifestyle,health,599739
salad,ingredient,602668
recipe-type,recipe-collection,162446
tv-serie,serie-tv,713946
prada,fashion,383950
gq-car-news,cars,985577
recipes,recipe-type,162352
interviews,fashion,452880
recipes,pasta-noodles,1700554
dinner,american,800196
sunday-review,reviews,574606
shows,programmi-tv,1669518
vegan,dinner,481518
fashion,e-commerce,727083
meal,keto,612820
one-pot-meals,dinner,399163
sunday-review,albums,574606
simple-cooking,cookbooks,411591
wellness-fitness,salute-e-benessere,1660532
flip flops,estilo-vogue,2165361
easy,dessert,676518
